similar contexts for:car
accident_compmod_up
concept_compmod_down
race_dobj_up
car_conj_down
crash_compmod_up
bomb_compmod_up
car_conj_up
hit_adpmod_by_up
race_amod_down
drive_dobj_up
drive_partmod_down
cable_compmod_down
formula_compmod_down
racing_compmod_up
race_compmod_down
passenger_compmod_down
driver_compmod_up
steal_dobj_up
stock_compmod_down
motor_compmod_down
similar contexts for:bus
stop_compmod_up
interchange_compmod_up
route_compmod_up
terminal_compmod_up
stand_compmod_up
transit_compmod_up
depot_compmod_up
operator_compmod_up
service_compmod_up
travel_partmod_down
tour_compmod_down
express_compmod_down
driver_compmod_up
train_conj_down
crash_compmod_up
connect_nsubj_up
get_adpmod_on_up
trip_compmod_up
serve_adpmod_by_up
lane_compmod_up
similar contexts for:hospital
hospital_conj_up
hospital_conj_down
bed_compmod_up
teaching_compmod_down
memorial_compmod_down
take_adpmod_to_up
admit_adpmod_to_up
die_adpmod_at_up
visit_adpmod_in_up
massachusetts_compmod_down
general_compmod_down
child_poss_down
spend_adpmod_in_up
regional_compmod_down
work_adpmod_at_up
die_adpmod_in_up
staff_compmod_up
trust_compmod_up
university_compmod_down
nearby_amod_down
similar contexts for:hotel
hotel_conj_down
luxury_compmod_down
restaurant_conj_down
hotel_conj_up
stay_adpmod_at_up
palace_compmod_down
room_compmod_up
convert_adpmod_into_up
chain_compmod_up
chain_adpmod_of_up
purchase_dobj_up
house_compmod_down
hold_adpmod_at_up
building_conj_up
management_conj_down
spring_compmod_down
park_compmod_down
stay_adpmod_in_up
star_compmod_down
historic_amod_down
similar contexts for:gun
machine_compmod_down
arm_adpmod_with_up
gun_conj_up
weapon_conj_down
fire_nsubj_up
n_compmod_up
lewis_compmod_down
mount_dobj_up
fire_dobj_up
shield_compmod_up
tank_compmod_down
artillery_compmod_down
fire_compmod_up
point_dobj_up
battery_compmod_up
light_amod_down
pull_dobj_up
crew_compmod_up
fit_adpmod_with_up
heavy_amod_down
similar contexts for:bomb
explode_nsubj_up
atomic_amod_down
hydrogen_compmod_down
sink_conj_down
hit_adpmod_by_up
drop_dobj_up
pipe_compmod_down
damage_adpmod_by_up
destroy_adpmod_by_up
attack_compmod_up
raid_amod_up
explosive_amod_down
drop_nsubjpass_up
attach_partmod_down
raid_compmod_up
target_dobj_down
car_compmod_down
damage_conj_down
ship_nsubjpass_down
nuclear_amod_down
similar contexts for:horse
rid_dobj_up
racing_compmod_up
riding_compmod_up
artillery_compmod_up
mount_adpmod_on_up
rider_compmod_up
brigade_compmod_up
race_compmod_up
dead_amod_down
wild_amod_down
comic_compmod_up
win_infmod_down
light_compmod_down
steal_dobj_up
race_compmod_down
guard_compmod_up
team_adpmod_of_up
champion_compmod_down
train_dobj_up
regiment_compmod_up
similar contexts for:fox
net_compmod_up
news_compmod_up
affiliate_compmod_up
sport_compmod_up
century_compmod_down
programming_compmod_up
kid_compmod_up
reservation_compmod_up
channel_compmod_up
20th_amod_down
matthew_compmod_down
switch_adpmod_to_up
air_adpmod_on_up
break_compmod_up
network_compmod_up
radio_compmod_up
warren_compmod_down
spirit_amod_up
tv_compmod_up
picture_compmod_up
similar contexts for:table
content_adpmod_of_down
medal_compmod_down
periodic_amod_down
table_adpmod_of_up
table_adpmod_of_down
round_compmod_down
database_compmod_down
knight_adpmod_of_up
top_dobj_up
list_conj_up
top_adpmod_of_up
operating_compmod_down
list_nsubj_up
show_adpmod_in_up
following_amod_down
follow_amod_down
water_compmod_down
half_adpmod_of_up
list_adpmod_in_up
turn_dobj_up
similar contexts for:bowl
rose_compmod_down
pro_compmod_down
sugar_compmod_down
super_compmod_down
subdivision_compmod_up
orange_compmod_down
cotton_compmod_down
inning_adpmod_in_down
game_appos_down
independence_compmod_down
selection_compmod_up
holiday_compmod_down
victory_adpmod_in_up
ring_compmod_up
classic_compmod_up
copper_compmod_down
appearance_compmod_up
victory_compmod_up
ball_dobj_down
ball_amod_up
similar contexts for:guitar
vocal_conj_down
vocal_conj_up
bass_conj_down
bass_compmod_down
acoustic_amod_down
solo_compmod_up
guitar_conj_down
electric_amod_down
lead_compmod_down
guitar_conj_up
piano_conj_down
replace_adpmod_on_up
playing_compmod_up
hero_compmod_up
signature_compmod_down
drum_conj_up
feature_adpmod_on_up
play_dobj_up
join_adpmod_on_up
pick_compmod_up
similar contexts for:piano
voice_conj_up
solo_compmod_up
orchestra_conj_down
toy_compmod_down
guitar_conj_up
guitar_conj_down
grand_amod_down
bass_conj_down
trio_compmod_up
vocal_conj_down
teacher_compmod_up
arrangement_compmod_up
drum_conj_up
roll_compmod_up
study_dobj_up
solo_compmod_down
acoustic_amod_down
competition_compmod_up
no_compmod_up
score_compmod_up
