"car: similar contexts context"
"adpmod:byI_commute"
"amod_street-legal"
"conj_hovercraft"
"amod_newly-designed"
"amod_liter"
"amod_late-model"
"poss_brink"
"compmod_m1918"
"adpmod:fromI_tossed"
"compmod_high-wing"

"bus: similar contexts context"
"adpmod:byI_commute"
"amod_east-bound"
"conj_hovercraft"
"adpmod:onI_ridership"
"compmod_airlink"
"compmod_operates"
"conj_busses"
"compmod_xpt"
"compmod_yrt"
"dobjI_onboard"

"hospital: similar contexts context"
"compmod_siriraj"
"compmod_safdarjung"
"adpmod:of_nuova"
"compmod_strangeways"
"amod_maximum-security"
"compmod_armley"
"compmod_combermere"
"compmod_fresnes"
"compmod_eastview"
"compmod_desloge"

"hotel: similar contexts context"
"compmod_nymphenburg"
"compmod_dolmabahçe"
"compmod_whitwell"
"conj_guesthouses"
"compmod_ravenscourt"
"compmod_hanworth"
"compmod_siriraj"
"compmod_strangeways"
"compmod_safdarjung"
"compmod_armley"

"gun: similar contexts context"
"num_88mm"
"adpmod:withI_rearmed"
"compmod_m1918"
"compmodI_fellatio"
"num_60mm"
"adpmod:ofI_hilt"
"compmod_karabiner"
"compmod_t-55"
"adpmod:forI_cartridges"
"compmodI_cwt"

"bomb: similar contexts context"
"num_88mm"
"adpmod:on_pentagon"
"compmodI_splashes"
"adpmod:byI_unharmed"
"adpmod:withI_rearmed"
"compmod_single-car"
"compmod_m1918"
"compmod_phishing"
"compmodI_fellatio"
"rcmod_bursts"

"horse: similar contexts context"
"amod_gaited"
"nsubjpassI_spooked"
"compmodI_drovers"
"dobjI_shoe"
"adpmod:byI_commute"
"rcmod_roams"
"poss_quixote"
"compmod_ch-53e"
"appos_pony"
"compmod_poitevin"

"fox: similar contexts context"
"amod_crab-eating"
"appos_canadensis"
"compmodI_subchannels"
"conj_mattel"
"compmod_jacki"
"conjI_raimi"
"conjI_corgan"
"conjI_leda"
"conj_bluebird"
"conj_nolte"

"table: similar contexts context"
"adpmod:inI_rows"
"adpmod:offI_knocks"
"adpmod:onI_seventh"
"amod_ten-foot"
"compmod_abydos"
"amod_25-metre"
"adpmod:intoI_face"
"adpmod:belowI_added"
"adpmod:throughI_throw"
"compmod_three-judge"

"bowl: similar contexts context"
"adpmod:against_auburn"
"conjI_preseason"
"adpmod:against_oklahoma"
"adpmod:inI_2-1"
"conj_play-offs"
"compmod_pan-pacific"
"adpmod:forI_stadiums"
"adpmod:atI_clinched"
"adpmod:intoI_win"
"amod_25-metre"

"guitar: similar contexts context"
"conjI_bongos"
"amod_end-blown"
"conj_back-up"
"adpmod:onI_harris"
"adpmod:forI_adagio"
"adpmod:onI_thompson"
"appos_mandolin"
"dep_keyboard"
"adpmod:ofI_virtuoso"
"adpmod:onI_foster"

"piano: similar contexts context"
"adpmod:forI_adagio"
"amod_end-blown"
"conjI_bongos"
"adpmod:onI_harris"
"adpmod:ofI_virtuoso"
"adpmod:onI_thompson"
"conj_back-up"
"compmod_kreutzer"
"compmod_vomeronasal"
"adpmod:onI_supplemented"

