"car: similar contexts doc"
"poss_your"
"compmodI_park"
"compmod_sports"
"poss_his"
"compmodI_race"
"adpcomp:ofI_out"
"det_a"
"dobjI_get"
"compmodI_market"

"bus: similar contexts doc"
"compmodI_services"
"compmodI_service"
"compmodI_lines"
"compmodI_station"
"compmodI_route"
"compmodI_companies"
"compmod_school"
"compmodI_stations"
"compmodI_operations"

"hospital: similar contexts doc"
"adpmod:toI_go"
"adpmod:atI_died"
"poss_children"
"partmod_located"
"compmod_general"
"compmod_university"
"adpmod:inI_died"
"conj_school"
"compmod_district"

"hotel: similar contexts doc"
"compmod_lake"
"partmod_located"
"compmodI_room"
"compmod_la"
"compmod_house"
"adpmod:in_city"
"compmod_park"
"adpmod:atI_held"
"compmod_star"

"gun: similar contexts doc"
"poss_your"
"compmod_support"
"dobjI_get"
"dobjI_put"
"compmodI_control"
"amod_heavy"
"det_a"
"dobjI_use"
"amod_light"

"bomb: similar contexts doc"
"compmodI_attack"
"compmod_car"
"amod_nuclear"
"nsubjI_killed"
"dobjI_carry"
"det_a"
"compmod_a"
"compmodI_group"
"nsubjI_hit"

"horse: similar contexts doc"
"poss_your"
"compmodI_race"
"dobjI_means"
"compmod_white"
"amod_white"
"adpmod:of_year"
"poss_his"
"det_a"
"compmodI_shows"

"fox: similar contexts doc"
"compmodI_news"
"compmodI_studios"
"amod_20th"
"compmodI_channel"
"compmodI_network"
"compmodI_radio"
"compmod_century"
"adpmod:byI_produced"
"adpmod:byI_owned"

"table: similar contexts doc"
"adpmod:ofI_top"
"poss_your"
"det_the"
"dobjI_see"
"adpmod:atI_look"
"adpmod:inI_place"
"compmod_league"
"compmodI_player"
"det_a"

"bowl: similar contexts doc"
"compmod_super"
"compmodI_game"
"adpmod:inI_play"
"compmodI_games"
"compmodI_record"
"compmodI_v"
"compmodI_season"
"compmodI_champion"
"dobjI_win"

"guitar: similar contexts doc"
"dobjI_plays"
"dobjI_playing"
"dobjI_play"
"amod_electric"
"dobjI_played"
"amod_classical"
"p_)"
"compmodI_player"
"adpmod:onI_played"

"piano: similar contexts doc"
"dobjI_studied"
"compmodI_no"
"dobjI_playing"
"dobjI_plays"
"compmodI_competition"
"dobjI_play"
"adpmod:ofI_professor"
"compmodI_works"
"dobjI_played"

